tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	magn_volume	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
16tr001e:LP-DIR-T16	16tr001e:LP-DIR-T	16tr001e	0.8	180.3	-15.3	0	0	0	0	16	936.0	0.0029	This study	2G	LT-T-Z:DE-VM:LP-DIR-T	g	15	u	2.0	273.0		average of multiple measurements	pmagpy-3.18.0	2.82e-08	7.422000000000001e-10	5.319e-10	5.928e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T17	16tr001e:LP-DIR-T	16tr001e		185.9	-16.4	0	0	0	0	17	939.0	0.002876	This study	2G	LT-T-Z:LP-DIR-T	g	16	u	4.0	273.0			pmagpy-3.18.0	2.8760000000000007e-08	6.508e-10	5.364e-10	8.158e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T18	16tr001e:LP-DIR-T	16tr001e		143.5	-34.4	0	0	0	0	18	942.0	0.0007765	This study	2G	LT-T-Z:LP-DIR-T	g	17	u	4.0	273.0			pmagpy-3.18.0	7.765e-09	5.252999999999999e-10	4.489e-10	2.408e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T19	16tr001e:LP-DIR-T	16tr001e		140.3	-37.3	0	0	0	0	19	945.0	0.001058	This study	2G	LT-T-Z:LP-DIR-T	g	18	u	4.0	273.0			pmagpy-3.18.0	1.058e-08	4.711e-10	4.42e-10	3.425e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T20	16tr001e:LP-DIR-T	16tr001e		150.2	-24.6	0	0	0	0	20	948.0	0.0014199999999999998	This study	2G	LT-T-Z:LP-DIR-T	g	19	u	4.0	273.0			pmagpy-3.18.0	1.42e-08	5.251e-10	5.236e-10	5.272e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T21	16tr001e:LP-DIR-T	16tr001e		151.9	-18.4	0	0	0	0	21	951.0	0.001557	This study	2G	LT-T-Z:LP-DIR-T	g	20	u	4.0	273.0			pmagpy-3.18.0	1.557e-08	8.778e-10	6.238e-10	3.8310000000000005e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T22	16tr001e:LP-DIR-T	16tr001e		52.7	-8.3	0	0	0	0	22	954.0	0.00119	This study	2G	LT-T-Z:LP-DIR-T	g	21	u	4.0	273.0			pmagpy-3.18.0	1.19e-08	6.911e-10	5.903999999999999e-10	2.8360000000000003e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T23	16tr001e:LP-DIR-T	16tr001e		198.2	-8.9	0	0	0	0	23	957.0	0.001585	This study	2G	LT-T-Z:LP-DIR-T	g	22	u	4.0	273.0			pmagpy-3.18.0	1.585e-08	9.137e-10	7.599e-10	3.9370000000000005e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T24	16tr001e:LP-DIR-T	16tr001e		33.3	-15.0	0	0	0	0	24	960.0	0.0016710000000000002	This study	2G	LT-T-Z:LP-DIR-T	g	23	u	4.0	273.0			pmagpy-3.18.0	1.6710000000000002e-08	6.04e-10	5.894e-10	4.0080000000000005e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T25	16tr001e:LP-DIR-T	16tr001e		12.3	-11.7	0	0	0	0	25	963.0	0.001353	This study	2G	LT-T-Z:LP-DIR-T	g	24	u	4.0	273.0			pmagpy-3.18.0	1.3530000000000003e-08	6.764e-10	6.642999999999999e-10	2.449e-10	16tr001e	16tr001	unknown
16tr001g:LP-DIR-T1	16tr001g:LP-DIR-T	16tr001g		205.7	-13.8	0	0	0	0	1	273.0	0.00439	This study	2G	LT-NO:LP-DIR-T	g	0	u	4.0	273.0			pmagpy-3.18.0	4.39e-08	3.5610000000000004e-10	6.194e-10	1.183e-09	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T2	16tr001g:LP-DIR-T	16tr001g		198.4	-18.1	0	0	0	0	2	353.0	0.004268999999999999	This study	2G	LT-T-Z:LP-DIR-T	g	1	u	4.0	273.0			pmagpy-3.18.0	4.269e-08	3.727e-10	6.093e-10	1.174e-09	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T3	16tr001g:LP-DIR-T	16tr001g		198.9	-18.4	0	0	0	0	3	473.0	0.0042	This study	2G	LT-T-Z:LP-DIR-T	g	2	u	4.0	273.0			pmagpy-3.18.0	4.2e-08	4.071e-10	6.368e-10	1.271e-09	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T4	16tr001g:LP-DIR-T	16tr001g		198.7	-20.6	0	0	0	0	4	573.0	0.004122	This study	2G	LT-T-Z:LP-DIR-T	g	3	u	4.0	273.0			pmagpy-3.18.0	4.122e-08	4.343e-10	7.041e-10	1.151e-09	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T5	16tr001g:LP-DIR-T	16tr001g		194.2	-18.3	0	0	0	0	5	673.0	0.004009	This study	2G	LT-T-Z:LP-DIR-T	g	4	u	4.0	273.0			pmagpy-3.18.0	4.009e-08	2.702e-10	6.101e-10	1.002e-09	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T6	16tr001g:LP-DIR-T	16tr001g		200.5	-18.6	0	0	0	0	6	773.0	0.003652	This study	2G	LT-T-Z:LP-DIR-T	g	5	u	4.0	273.0			pmagpy-3.18.0	3.652e-08	2.667e-10	5.222999999999999e-10	1.067e-09	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T7	16tr001g:LP-DIR-T	16tr001g		200.1	-18.9	0	0	0	0	7	823.0	0.003469	This study	2G	LT-T-Z:LP-DIR-T	g	6	u	4.0	273.0			pmagpy-3.18.0	3.469e-08	3.4500000000000005e-10	5.794e-10	1.18e-09	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T8	16tr001g:LP-DIR-T	16tr001g		195.9	-18.8	0	0	0	0	8	848.0	0.003394	This study	2G	LT-T-Z:LP-DIR-T	g	7	u	4.0	273.0			pmagpy-3.18.0	3.394e-08	3.06e-10	5.192e-10	1.157e-09	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T9	16tr001g:LP-DIR-T	16tr001g		193.3	-18.0	0	0	0	0	9	873.0	0.003287	This study	2G	LT-T-Z:LP-DIR-T	g	8	u	4.0	273.0			pmagpy-3.18.0	3.287e-08	2.445e-10	5.313e-10	9.455e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T10	16tr001g:LP-DIR-T	16tr001g		195.8	-19.2	0	0	0	0	10	888.0	0.0029690000000000003	This study	2G	LT-T-Z:LP-DIR-T	g	9	u	4.0	273.0			pmagpy-3.18.0	2.969e-08	2.493e-10	4.296000000000001e-10	1.013e-09	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T11	16tr001g:LP-DIR-T	16tr001g		195.0	-19.8	0	0	0	0	11	903.0	0.00278	This study	2G	LT-T-Z:LP-DIR-T	g	10	u	4.0	273.0			pmagpy-3.18.0	2.78e-08	2.3040000000000005e-10	4.251e-10	8.788e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T12	16tr001g:LP-DIR-T	16tr001g		193.6	-19.2	0	0	0	0	12	913.0	0.002742	This study	2G	LT-T-Z:LP-DIR-T	g	11	u	4.0	273.0			pmagpy-3.18.0	2.742e-08	2.273e-10	3.809e-10	8.774999999999998e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T13	16tr001g:LP-DIR-T	16tr001g		190.0	-21.1	0	0	0	0	13	923.0	0.002608	This study	2G	LT-T-Z:LP-DIR-T	g	12	u	4.0	273.0			pmagpy-3.18.0	2.6080000000000003e-08	3.703e-10	3.493e-10	8.152999999999999e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T14	16tr001g:LP-DIR-T	16tr001g		196.5	-20.0	0	0	0	0	14	930.0	0.002495	This study	2G	LT-T-Z:LP-DIR-T	g	13	u	4.0	273.0			pmagpy-3.18.0	2.495e-08	2.457e-10	3.263e-10	8.824e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T15	16tr001g:LP-DIR-T	16tr001g		186.0	-23.0	0	0	0	0	15	933.0	0.002328	This study	2G	LT-T-Z:LP-DIR-T	g	14	u	4.0	273.0			pmagpy-3.18.0	2.3280000000000004e-08	2.125e-10	3.587e-10	5.791e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T16	16tr001g:LP-DIR-T	16tr001g	2.1	196.9	-14.7	0	0	0	0	16	936.0	0.003177	This study	2G	LT-T-Z:DE-VM:LP-DIR-T	g	15	u	2.0	273.0		average of multiple measurements	pmagpy-3.18.0	3.0989999999999995e-08	7.172000000000001e-10	4.217e-10	7.637999999999999e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T17	16tr001g:LP-DIR-T	16tr001g		193.4	-16.6	0	0	0	0	17	939.0	0.003094	This study	2G	LT-T-Z:LP-DIR-T	g	16	u	4.0	273.0			pmagpy-3.18.0	3.094e-08	6.122e-10	4.931999999999999e-10	8.415e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T18	16tr001g:LP-DIR-T	16tr001g		184.4	-22.1	0	0	0	0	18	942.0	0.001767	This study	2G	LT-T-Z:LP-DIR-T	g	17	u	4.0	273.0			pmagpy-3.18.0	1.767e-08	5.083e-10	4.18e-10	4.459e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T19	16tr001g:LP-DIR-T	16tr001g	1.8	201.7	-14.9	0	0	0	0	19	945.0	0.002865	This study	2G	LT-T-Z:DE-VM:LP-DIR-T	g	18	u	2.0	273.0		average of multiple measurements	pmagpy-3.18.0	2.926e-08	4.1410000000000005e-10	6.167000000000001e-10	8.198999999999999e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T20	16tr001g:LP-DIR-T	16tr001g		200.4	-13.4	0	0	0	0	20	948.0	0.00324	This study	2G	LT-T-Z:LP-DIR-T	g	19	u	4.0	273.0			pmagpy-3.18.0	3.24e-08	6.805999999999999e-10	6.512999999999999e-10	7.742000000000001e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T21	16tr001g:LP-DIR-T	16tr001g		202.3	-13.4	0	0	0	0	21	951.0	0.0033450000000000003	This study	2G	LT-T-Z:LP-DIR-T	g	20	u	4.0	273.0			pmagpy-3.18.0	3.3450000000000005e-08	1.024e-09	6.610000000000001e-10	8.278e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T22	16tr001g:LP-DIR-T	16tr001g		167.6	-67.0	0	0	0	0	22	954.0	0.0006303	This study	2G	LT-T-Z:LP-DIR-T	g	21	u	4.0	273.0			pmagpy-3.18.0	6.303e-09	5.977e-10	5.262000000000001e-10	1.11e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T23	16tr001g:LP-DIR-T	16tr001g		198.7	-10.6	0	0	0	0	23	957.0	0.002496	This study	2G	LT-T-Z:LP-DIR-T	g	22	u	4.0	273.0			pmagpy-3.18.0	2.496e-08	1.057e-09	8.212e-10	6.965e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T24	16tr001g:LP-DIR-T	16tr001g		97.4	-24.9	0	0	0	0	24	960.0	0.00125	This study	2G	LT-T-Z:LP-DIR-T	g	23	u	4.0	273.0			pmagpy-3.18.0	1.25e-08	6.835e-10	6.776e-10	2.773e-10	16tr001g	16tr001	unknown
16tr001g:LP-DIR-T25	16tr001g:LP-DIR-T	16tr001g		321.1	-19.1	0	0	0	0	25	963.0	0.00111	This study	2G	LT-T-Z:LP-DIR-T	g	24	u	4.0	273.0			pmagpy-3.18.0	1.1100000000000002e-08	8.196e-10	7.112e-10	2.227e-10	16tr001g	16tr001	unknown
16tr001i:LP-DIR-T1	16tr001i:LP-DIR-T	16tr001i		203.8	-10.2	0	0	0	0	1	273.0	0.0070659999999999985	This study	2G	LT-NO:LP-DIR-T	g	0	u	4.0	273.0			pmagpy-3.18.0	7.066e-08	7.849e-10	1.1e-09	2.221e-09	16tr001i	16tr001	unknown
16tr001i:LP-DIR-T2	16tr001i:LP-DIR-T	16tr001i		197.2	-13.4	0	0	0	0	2	353.0	0.006719	This study	2G	LT-T-Z:LP-DIR-T	g	1	u	4.0	273.0			pmagpy-3.18.0	6.719e-08	9.666e-10	1.311e-09	2.443e-09	16tr001i	16tr001	unknown
16tr001i:LP-DIR-T3	16tr001i:LP-DIR-T	16tr001i		196.3	-12.8	0	0	0	0	3	473.0	0.006889	This study	2G	LT-T-Z:LP-DIR-T	g	2	u	4.0	273.0			pmagpy-3.18.0	6.888999999999999e-08	7.211000000000001e-10	1.285e-09	2.099e-09	16tr001i	16tr001	unknown
16tr001i:LP-DIR-T4	16tr001i:LP-DIR-T	16tr001i		194.5	-13.1	0	0	0	0	4	573.0	0.006784999999999999	This study	2G	LT-T-Z:LP-DIR-T	g	3	u	4.0	273.0			pmagpy-3.18.0	6.785e-08	7.13e-10	1.0630000000000002e-09	1.891e-09	16tr001i	16tr001	unknown
16tr001i:LP-DIR-T5	16tr001i:LP-DIR-T	16tr001i		197.0	-12.8	0	0	0	0	5	673.0	0.006592	This study	2G	LT-T-Z:LP-DIR-T	g	4	u	4.0	273.0			pmagpy-3.18.0	6.592000000000001e-08	7.662999999999999e-10	1.2740000000000002e-09	1.874e-09	16tr001i	16tr001	unknown
16tr001i:LP-DIR-T6	16tr001i:LP-DIR-T	16tr001i		198.3	-12.5	0	0	0	0	6	773.0	0.006282	This study	2G	LT-T-Z:LP-DIR-T	g	5	u	4.0	273.0			pmagpy-3.18.0	6.282e-08	6.07e-10	8.523e-10	1.885e-09	16tr001i	16tr001	unknown
16tr001i:LP-DIR-T7	16tr001i:LP-DIR-T	16tr001i		197.7	-12.1	0	0	0	0	7	823.0	0.0061530000000000005	This study	2G	LT-T-Z:LP-DIR-T	g	6	u	4.0	273.0			pmagpy-3.18.0	6.153e-08	5.773e-10	8.991e-10	1.972e-09	16tr001i	16tr001	unknown
16tr001i:LP-DIR-T8	16tr001i:LP-DIR-T	16tr001i		192.8	-11.9	0	0	0	0	8	848.0	0.005899000000000001	This study	2G	LT-T-Z:LP-DIR-T	g	7	u	4.0	273.0			pmagpy-3.18.0	5.899e-08	6.427000000000001e-10	8.899e-10	2.164e-09	16tr001i	16tr001	unknown
