tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-08 08:52:25	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T11	2.0	174.4	None	g	-2.5	4.4100000000000004e-08	11	8	5.84e-10	1.2800000000000001e-09	8.92e-10	u	273	0	0	0.0	0.0	823.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-09 08:52:16	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T12	1.9	174.4	None	g	-2.3	4.4000000000000004e-08	12	8	7.25e-10	1.2800000000000001e-09	6.769999999999999e-10	u	273	0	0	0.0	0.0	828.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-16 10:10:58	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T13	1.5	176.8	None	g	-2.0	4.32e-08	13	8	7.190000000000001e-10	5.06e-10	9.98e-10	u	273	0	0	0.0	0.0	833.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-16 18:30:21	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T14	2.2	175.3	None	g	-2.1	4.27e-08	14	8	7.049999999999999e-10	1.3e-09	9.84e-10	u	273	0	0	0.0	0.0	838.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-17 15:13:45	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T15	2.4	175.3	None	g	-2.0	4.23e-08	15	8	6e-10	1.49e-09	9.5e-10	u	273	0	0	0.0	0.0	843.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-18 10:54:50	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T16	1.9	175.4	None	g	-2.2	4.2e-08	16	8	4.95e-10	1.1e-09	9.149999999999999e-10	u	273	0	0	0.0	0.0	848.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-21 08:11:37	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T17	1.7	177.3	None	g	-1.9	4.1699999999999996e-08	17	8	4.6e-10	7.580000000000001e-10	9.81e-10	u	273	0	0	0.0	0.0	853.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-21 17:00:15	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T18	1.6	175.2	None	g	-1.6	4.0999999999999997e-08	18	8	4.4699999999999996e-10	6.35e-10	9.61e-10	u	273	0	0	0.0	0.0	873.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-22 15:59:35	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T19	1.7	174.2	None	g	-1.3	4e-08	19	8	4.21e-10	7.26e-10	9.56e-10	u	273	0	0	0.0	0.0	893.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-23 14:59:48	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T20	2.2	175.3	None	g	-0.8	3.94e-08	20	8	3.27e-10	1.2e-09	9.91e-10	u	273	0	0	0.0	0.0	903.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-24 11:41:20	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T21	2.1	175.6	None	g	-0.4	3.91e-08	21	8	4.71e-10	9.75e-10	1e-09	u	273	0	0	0.0	0.0	913.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-25 08:02:08	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T22	2.2	173.8	None	g	0.5	3.91e-08	22	8	5.99e-10	1.11e-09	1.0800000000000002e-09	u	273	0	0	0.0	0.0	918.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-29 10:50:32	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T23	2.0	174.4	None	g	0.5	3.8100000000000004e-08	23	8	3.48e-10	1.15e-09	7.54e-10	u	273	0	0	0.0	0.0	923.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-29 19:36:30	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T24	2.2	169.7	None	g	0.1	3.69e-08	24	8	6.38e-10	1.1699999999999999e-09	9.760000000000001e-10	u	273	0	0	0.0	0.0	928.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-09-01 20:45:44	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T25	2.1	175.0	None	g	1.6	3.49e-08	25	8	6.3e-10	9.05e-10	9.139999999999999e-10	u	273	0	0	0.0	0.0	933.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-09-10 13:11:46	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T26	2.6	172.0	None	g	-3.1	2.41e-08	26	8	2.53e-10	1.02e-09	5.01e-10	u	273	0	0	0.0	0.0	938.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-09-12 19:27:34	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T27	1.9	186.4	None	g	-5.4	1.07e-08	27	8	3.7199999999999996e-10	2.9000000000000003e-10	2.36e-10	u	273	0	0	0.0	0.0	943.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-09-15 11:39:57	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T28	2.6	176.3	None	g	2.8	8.23e-09	28	8	3.2199999999999997e-10	2.71e-10	2.68e-10	u	273	0	0	0.0	0.0	945.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-09-16 18:34:03	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T29	4.7	210.8	None	g	-10.5	4.95e-09	29	8	2e-10	1.0399999999999999e-10	3.8100000000000003e-10	u	273	0	0	0.0	0.0	947.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-09-19 20:33:29	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T30	3.9	186.3	None	b	4.5	5.84e-09	30	8	2.6100000000000003e-10	2.12e-10	3.37e-10	u	273	0	0	0.0	0.0	949.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-09-22 21:35:04	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T31	4.0	184.3	None	b	4.8	4.15e-09	31	8	2.03e-10	1.1e-10	2.7000000000000005e-10	u	273	0	0	0.0	0.0	951.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-09-24 19:17:40	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T32	7.5	121.5	None	b	-5.4	3.53e-09	32	8	1.32e-10	2e-10	4.22e-10	u	273	0	0	0.0	0.0	953.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-09-26 13:05:09	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T33	7.3	174.7	None	b	-11.5	3.6099999999999997e-09	33	8	1.46e-10	1.36e-10	4.36e-10	u	273	0	0	0.0	0.0	955.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-09-26 15:35:56	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T34	7.2	175.1	None	b	-13.0	3.4799999999999996e-09	34	8	1.6299999999999998e-10	2.21e-10	3.77e-10	u	273	0	0	0.0	0.0	955.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-10-01 13:12:46	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T35	4.3	189.4	None	b	10.8	4.93e-09	35	8	2.3099999999999998e-10	2.54e-10	2.81e-10	u	273	0	0	0.0	0.0	957.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-10-02 13:19:36	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T36	4.7	231.9	None	b	-7.2	5.3299999999999996e-09	36	8	2.7000000000000005e-10	3.23e-10	3.05e-10	u	273	0	0	0.0	0.0	959.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-10-03 16:13:29	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T37	4.3	183.3	None	b	3.3	4.220000000000001e-09	37	8	2.52e-10	1.19e-10	3.03e-10	u	273	0	0	0.0	0.0	961.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-07-20 10:45:02	LT-NO:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T1	1.1	195.5	None	g	7.5	4.5199999999999994e-08	1	8	7.27e-10	6.990000000000001e-10	6.01e-10	u	273	0	0	0.0	0.0	273.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-07-21 12:31:27	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T2	2.4	196.0	None	g	5.3	4.3899999999999996e-08	2	8	6.809999999999999e-10	1.9699999999999996e-09	5.899999999999999e-10	u	273	0	0	0.0	0.0	373.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-07-24 07:59:50	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T3	3.4	194.9	None	g	4.8	4.23e-08	3	8	1.0800000000000002e-09	2.51e-09	6.769999999999999e-10	u	273	0	0	0.0	0.0	473.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-07-24 15:53:18	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T4	2.6	196.2	None	g	4.7	4.2e-08	4	8	1.24e-09	2.0100000000000003e-09	7.21e-10	u	273	0	0	0.0	0.0	573.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-07-31 11:23:28	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T5	1.1	195.0	None	g	4.9	4.08e-08	5	8	5.97e-10	3.57e-10	6.55e-10	u	273	0	0	0.0	0.0	623.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-01 09:48:15	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T6	2.3	193.9	None	g	5.1	4.0099999999999995e-08	6	8	7.34e-10	1.3300000000000002e-09	7.93e-10	u	273	0	0	0.0	0.0	673.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-02 09:17:42	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T7	1.4	196.1	None	g	5.0	3.9e-08	7	8	6.34e-10	4.6399999999999995e-10	7.72e-10	u	273	0	0	0.0	0.0	723.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-03 16:21:10	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T8	2.0	195.5	None	g	4.9	3.87e-08	8	8	6.439999999999999e-10	1.21e-09	6.54e-10	u	273	0	0	0.0	0.0	748.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-04 12:57:39	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T9	2.5	195.9	None	g	5.4	3.7999999999999996e-08	9	8	9.09e-10	1.56e-09	6.23e-10	u	273	0	0	0.0	0.0	773.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-07 09:41:40	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T10	1.4	194.6	None	g	5.6	3.7400000000000004e-08	10	8	4.04e-10	6.12e-10	6.320000000000001e-10	u	273	0	0	0.0	0.0	798.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-08 08:54:05	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T11	1.5	194.2	None	g	5.7	3.64e-08	11	8	4.74e-10	6.58e-10	6.360000000000001e-10	u	273	0	0	0.0	0.0	823.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-09 08:53:52	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T12	1.3	194.8	None	g	5.6	3.61e-08	12	8	5.95e-10	5.94e-10	4.979999999999999e-10	u	273	0	0	0.0	0.0	828.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-16 10:12:37	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T13	1.3	194.9	None	g	5.9	3.54e-08	13	8	5.269999999999999e-10	4.29e-10	6.950000000000001e-10	u	273	0	0	0.0	0.0	833.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-16 18:31:59	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T14	1.8	195.3	None	g	5.9	3.5e-08	14	8	6.1e-10	8.33e-10	7.149999999999999e-10	u	273	0	0	0.0	0.0	838.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-17 15:15:24	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T15	1.3	194.7	None	g	5.7	3.48e-08	15	8	4.87e-10	4.19e-10	6.8e-10	u	273	0	0	0.0	0.0	843.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-18 10:56:29	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T16	1.4	195.3	None	g	5.4	3.44e-08	16	8	4.2799999999999997e-10	5.06e-10	6.67e-10	u	273	0	0	0.0	0.0	848.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-21 08:13:16	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T17	1.5	195.6	None	g	5.0	3.41e-08	17	8	4.200000000000001e-10	6.22e-10	6.58e-10	u	273	0	0	0.0	0.0	853.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-21 17:01:54	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T18	1.5	194.5	None	g	5.0	3.2900000000000003e-08	18	8	4.0999999999999993e-10	5.42e-10	6.819999999999999e-10	u	273	0	0	0.0	0.0	873.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-22 16:01:14	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T19	1.6	194.8	None	g	5.5	3.19e-08	19	8	5.820000000000001e-10	5.75e-10	6.49e-10	u	273	0	0	0.0	0.0	893.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-23 15:01:27	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T20	1.6	193.5	None	g	5.1	3.1299999999999996e-08	20	8	2.71e-10	5.48e-10	6.51e-10	u	273	0	0	0.0	0.0	903.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-24 11:43:00	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T21	1.7	195.2	None	g	5.9	3.09e-08	21	8	5.09e-10	6.55e-10	6.479999999999999e-10	u	273	0	0	0.0	0.0	913.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-25 08:03:48	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T22	2.0	190.9	None	g	6.0	2.8999999999999998e-08	22	8	6.189999999999999e-10	6.6e-10	7.41e-10	u	273	0	0	0.0	0.0	918.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-29 10:52:11	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T23	1.9	194.0	None	g	5.4	2.8700000000000002e-08	23	8	5.599999999999999e-10	7.620000000000001e-10	5.16e-10	u	273	0	0	0.0	0.0	923.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-08-29 19:38:08	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T24	2.3	192.4	None	g	4.4	2.57e-08	24	8	8.490000000000002e-10	7.07e-10	6.27e-10	u	273	0	0	0.0	0.0	928.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-09-01 20:47:24	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T25	2.8	198.4	None	g	7.1	1.79e-08	25	8	8.859999999999998e-10	4.6e-10	5.55e-10	u	273	0	0	0.0	0.0	933.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-09-10 13:13:25	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T26	3.1	194.2	None	g	5.7	1.75e-08	26	8	5.11e-10	7.190000000000001e-10	5.3e-10	u	273	0	0	0.0	0.0	938.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-09-12 19:29:18	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T27	10.3	273.1	None	b	-6.3	3.63e-09	27	8	2.9399999999999997e-10	2.85e-10	5.63e-10	u	273	0	0	0.0	0.0	943.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-09-13 09:00:46	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T28	9.3	284.5	None	b	-6.9	3.5700000000000007e-09	28	8	2.02e-10	1.94e-10	5.269999999999999e-10	u	273	0	0	0.0	0.0	943.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-09-14 14:04:46	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T29	9.3	274.1	None	b	-1.8	3.939999999999999e-09	29	8	2.69e-10	2.68e-10	5.71e-10	u	273	0	0	0.0	0.0	943.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-09-14 14:58:50	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T30	8.9	276.2	None	g	-3.0	3.81e-09	30	8	2.18e-10	2.2e-10	5.400000000000001e-10	u	273	0	0	0.0	0.0	943.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-09-15 11:41:37	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T31	8.2	193.2	None	b	3.1	4.55e-09	31	8	2.6100000000000003e-10	1.49e-10	6.42e-10	u	273	0	0	0.0	0.0	945.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-09-16 18:35:42	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T32	7.3	207.5	None	b	-7.3	4.4799999999999994e-09	32	8	3.11e-10	1.44e-10	5.21e-10	u	273	0	0	0.0	0.0	947.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-09-19 09:03:34	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T33	8.2	212.0	None	b	-4.0	4.26e-09	33	8	2.03e-10	1.46e-10	5.899999999999999e-10	u	273	0	0	0.0	0.0	947.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-09-19 20:35:07	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T34	8.8	156.0	None	b	-2.4	3.9299999999999995e-09	34	8	1.73e-10	1.5900000000000002e-10	5.83e-10	u	273	0	0	0.0	0.0	949.0
None	This study	Hongzixi	TR002-C	TR002	TR002-Ca	TR002-Ca:LP-DIR-T	hargrave 2017-09-22 11:39:30	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ca:LP-DIR-T35	10.1	163.1	None	b	-0.8	3.5700000000000007e-09	35	8	1.5699999999999997e-10	1.37e-10	6.16e-10	u	273	0	0	0.0	0.0	949.0
