tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	sequence	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-09-20 14:27:32	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T24	2.7	308.7	None	g	29.0	9.02e-09	24.0	8.0	3.12e-10	1.93e-10	2.41e-10	u	273.0	24.0	0.0	0.0	0.0	0.0	928.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-09-21 11:50:53	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T25	2.7	308.5	None	g	27.2	9.01e-09	25.0	8.0	3.44e-10	1.8599999999999998e-10	2.22e-10	u	273.0	25.0	0.0	0.0	0.0	0.0	933.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-09-24 14:15:39	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T26	3.0	307.9	None	g	22.7	8.329999999999999e-09	26.0	8.0	3.3e-10	1.89e-10	2.4799999999999997e-10	u	273.0	26.0	0.0	0.0	0.0	0.0	938.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-09-25 11:46:08	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T27	2.4	309.0	None	g	20.4	6.74e-09	27.0	8.0	2.36e-10	1.32e-10	1.37e-10	u	273.0	27.0	0.0	0.0	0.0	0.0	943.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-09-25 19:55:06	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T28	4.2	316.5	None	g	24.9	4.0999999999999995e-09	28.0	8.0	2.16e-10	1.06e-10	1.9800000000000001e-10	u	273.0	28.0	0.0	0.0	0.0	0.0	945.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-09-26 16:35:26	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T29	3.9	305.7	None	g	21.1	2.8399999999999997e-09	29.0	8.0	1.48e-10	5.87e-11	1.27e-10	u	273.0	29.0	0.0	0.0	0.0	0.0	947.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-10-04 16:02:51	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T30	10.6	345.1	None	g	46.7	6.89e-10	30.0	8.0	7.090000000000001e-11	3.5399999999999995e-11	1.08e-10	u	273.0	30.0	0.0	0.0	0.0	0.0	949.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-10-04 17:31:36	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T31	8.8	345.0	None	b	47.8	6.78e-10	31.0	8.0	4.6899999999999994e-11	4.63e-11	9.57e-11	u	273.0	31.0	0.0	0.0	0.0	0.0	949.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-10-04 17:43:10	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T32	10.0	345.1	None	g	48.0	6.96e-10	32.0	8.0	7.27e-11	3.08e-11	1.0500000000000001e-10	u	273.0	32.0	0.0	0.0	0.0	0.0	949.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-10-05 13:40:49	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T33	3.8	269.4	None	b	22.4	1.3e-09	33.0	8.0	5.28e-11	4.9100000000000004e-11	5.87e-11	u	273.0	33.0	0.0	0.0	0.0	0.0	951.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-10-09 17:42:19	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T34	4.7	165.7	None	b	20.4	9.48e-10	34.0	8.0	2.2300000000000003e-11	6.66e-11	4.1200000000000004e-11	u	273.0	34.0	0.0	0.0	0.0	0.0	953.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-10-11 15:50:19	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T35	4.7	180.5	None	b	31.2	1.14e-09	35.0	8.0	5.03e-11	5.89e-11	6.78e-11	u	273.0	35.0	0.0	0.0	0.0	0.0	955.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-10-12 14:16:36	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T36	5.4	118.8	None	b	-11.9	1.01e-09	36.0	8.0	3.77e-11	9.340000000000001e-11	7.17e-11	u	273.0	36.0	0.0	0.0	0.0	0.0	957.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-10-19 13:46:51	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T37	7.2	197.6	None	b	1.9	9.97e-10	37.0	8.0	2.2e-11	3.08e-11	1.2399999999999999e-10	u	273.0	37.0	0.0	0.0	0.0	0.0	959.0
None	This study	Luoman3	TR038-A	TR038	TR038-Aa	TR038-Aa:LP-DIR-T	hargrave 2018-10-20 13:11:06	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Aa:LP-DIR-T38	6.9	133.5	None	b	6.4	1.62e-09	38.0	8.0	3.07e-11	4.52e-11	1.95e-10	u	273.0	38.0	0.0	0.0	0.0	0.0	961.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-05-11 18:15:04	LT-NO:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T0	2.3	250.0	None	g	61.7	5.749999999999999e-09	0.0	8.0	1.93e-10	1.88e-10	1.1599999999999999e-10	u	273.0	39.0	0.0	0.0	0.0	0.0	273.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-05-14 16:31:06	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T1	3.1	254.8	None	g	59.0	4.86e-09	1.0	8.0	2.5e-10	1.4500000000000002e-10	1.0200000000000001e-10	u	273.0	40.0	0.0	0.0	0.0	0.0	373.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-05-15 16:48:49	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T2	2.5	261.3	None	g	46.0	3.3399999999999996e-09	2.0	8.0	1.4500000000000002e-10	1.13e-10	1.25e-10	u	273.0	41.0	0.0	0.0	0.0	0.0	473.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-05-16 14:03:36	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T3	3.0	265.4	None	g	33.4	2.7500000000000002e-09	3.0	8.0	1.26e-10	1.0500000000000001e-10	1.18e-10	u	273.0	42.0	0.0	0.0	0.0	0.0	573.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-05-17 15:41:57	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T4	3.4	265.1	None	g	25.9	2.57e-09	4.0	8.0	1.38e-10	1.06e-10	1.09e-10	u	273.0	43.0	0.0	0.0	0.0	0.0	623.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-05-18 14:01:36	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T5	4.7	264.0	None	g	16.7	2.36e-09	5.0	8.0	1.41e-10	8.049999999999999e-11	1.2200000000000002e-10	u	273.0	44.0	0.0	0.0	0.0	0.0	673.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-05-21 11:01:39	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T6	4.1	264.1	None	g	5.7	2.26e-09	6.0	8.0	9.590000000000001e-11	9.02e-11	1.27e-10	u	273.0	45.0	0.0	0.0	0.0	0.0	723.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-07-30 17:01:28	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T7	3.3	261.5	None	g	-4.8	2.41e-09	7.0	8.0	8.659999999999999e-11	9.75e-11	1.21e-10	u	273.0	46.0	0.0	0.0	0.0	0.0	748.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-07-31 13:25:55	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T8	6.1	260.4	None	g	-29.2	2.7300000000000003e-09	8.0	8.0	3.87e-11	8.81e-11	2.9000000000000003e-10	u	273.0	47.0	0.0	0.0	0.0	0.0	773.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-08-01 11:29:46	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T9	4.0	260.4	None	g	-23.6	2.53e-09	9.0	8.0	7.900000000000001e-11	1.1400000000000001e-10	2.3199999999999997e-10	u	273.0	48.0	0.0	0.0	0.0	0.0	798.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-08-01 18:24:45	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T10	5.2	263.8	None	g	-34.2	2.95e-09	10.0	8.0	3.65e-11	1.1400000000000001e-10	3.9100000000000005e-10	u	273.0	49.0	0.0	0.0	0.0	0.0	823.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-08-01 19:47:20	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T11	2.3	263.9	None	g	-31.0	2.8300000000000004e-09	11.0	8.0	3.97e-11	9.92e-11	1.8300000000000001e-10	u	273.0	50.0	0.0	0.0	0.0	0.0	823.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-08-03 11:46:07	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T12	2.5	262.2	None	g	-33.7	2.85e-09	12.0	8.0	9.41e-11	9.24e-11	1.72e-10	u	273.0	51.0	0.0	0.0	0.0	0.0	828.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-08-03 18:42:27	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T13	2.0	264.1	None	g	-41.7	3.3399999999999996e-09	13.0	8.0	4.72e-11	7.559999999999999e-11	1.0699999999999999e-10	u	273.0	52.0	0.0	0.0	0.0	0.0	833.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-08-13 16:58:52	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T14	1.1	264.2	None	g	-41.6	3.18e-09	14.0	8.0	4.21e-11	8.590000000000001e-11	1.0200000000000001e-10	u	273.0	53.0	0.0	0.0	0.0	0.0	838.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-08-14 13:51:50	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T15	1.1	262.5	None	g	-44.8	3.410000000000001e-09	15.0	8.0	3.94e-11	7.87e-11	1.06e-10	u	273.0	54.0	0.0	0.0	0.0	0.0	843.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-08-15 10:15:28	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T16	1.4	265.0	None	g	-47.9	3.4700000000000002e-09	16.0	8.0	6.09e-11	6.53e-11	1.23e-10	u	273.0	55.0	0.0	0.0	0.0	0.0	848.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-08-15 17:21:03	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T17	1.1	266.3	None	g	-49.9	3.63e-09	17.0	8.0	5e-11	7.13e-11	1.08e-10	u	273.0	56.0	0.0	0.0	0.0	0.0	853.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-08-16 13:38:05	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T18	1.8	266.6	None	g	-53.5	3.78e-09	18.0	8.0	1.0500000000000001e-10	8.329999999999999e-11	1.06e-10	u	273.0	57.0	0.0	0.0	0.0	0.0	873.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-08-17 11:52:40	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T19	1.3	266.9	None	g	-54.8	4.0999999999999995e-09	19.0	8.0	8.16e-11	6.21e-11	1.01e-10	u	273.0	58.0	0.0	0.0	0.0	0.0	893.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-08-28 13:32:01	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T20	0.9	266.3	None	g	-55.8	4.15e-09	20.0	8.0	3.3399999999999996e-11	7.909999999999999e-11	8.2e-11	u	273.0	59.0	0.0	0.0	0.0	0.0	903.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-09-10 12:04:41	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T21	1.4	265.6	None	g	-54.6	4.33e-09	21.0	8.0	6.690000000000001e-11	9.85e-11	1.3999999999999998e-10	u	273.0	60.0	0.0	0.0	0.0	0.0	913.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-09-11 14:01:54	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T22	2.3	262.2	None	g	-57.7	4.36e-09	22.0	8.0	1.67e-10	1.0200000000000001e-10	1.52e-10	u	273.0	61.0	0.0	0.0	0.0	0.0	918.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-09-12 14:02:00	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T23	1.5	262.0	None	g	-57.8	4.589999999999999e-09	23.0	8.0	9.690000000000001e-11	1.11e-10	1.6899999999999999e-10	u	273.0	62.0	0.0	0.0	0.0	0.0	923.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-09-20 14:28:53	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T24	1.4	257.3	None	g	-62.1	4.79e-09	24.0	8.0	7.090000000000001e-11	1.33e-10	1.48e-10	u	273.0	63.0	0.0	0.0	0.0	0.0	928.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-09-21 11:52:12	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T25	1.2	262.5	None	g	-59.8	4.9e-09	25.0	8.0	7.490000000000001e-11	1.09e-10	1.36e-10	u	273.0	64.0	0.0	0.0	0.0	0.0	933.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-09-24 14:17:03	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T26	1.9	243.9	None	g	-71.2	4.6e-09	26.0	8.0	1.33e-10	1.19e-10	1.1e-10	u	273.0	65.0	0.0	0.0	0.0	0.0	938.0
None	This study	Luoman3	TR038-B	TR038	TR038-Ba	TR038-Ba:LP-DIR-T	hargrave 2018-09-25 11:47:32	LT-T-Z:LP-DIR-T	pmagpy-4.2.4	TR038-Ba:LP-DIR-T27	3.6	226.5	None	g	-67.7	2.43e-09	27.0	8.0	9.93e-11	1.41e-10	3.67e-11	u	273.0	66.0	0.0	0.0	0.0	0.0	943.0
