tab	measurements
experiment	specimen	measurement	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T10	    1.1	243.3	-39.0 	0	0	0.00	0.00	10	  823.0	This study	hargrave 2018-08-01 14:49:10	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.4	5.31e-08	4.42e-10	1.04e-09	6.01e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T11	    1.5	242.1	-39.1 	0	0	0.00	0.00	11	  828.0	This study	hargrave 2018-08-02 11:57:42	LT-T-Z:LP-DIR-T	g	11	u	8	273			pmagpy-4.2.4	5.31e-08	1.05e-09	9.26e-10	6.91e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T12	    1.5	242.6	-39.1 	0	0	0.00	0.00	12	  833.0	This study	hargrave 2018-08-03 15:07:06	LT-T-Z:LP-DIR-T	g	12	u	8	273			pmagpy-4.2.4	5.30e-08	9.61e-10	1.09e-09	4.17e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T13	    1.3	243.4	-39.6 	0	0	0.00	0.00	13	  838.0	This study	hargrave 2018-08-13 13:25:41	LT-T-Z:LP-DIR-T	g	13	u	8	273			pmagpy-4.2.4	5.29e-08	5.39e-10	9.39e-10	7.72e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T14	    1.3	242.5	-39.7 	0	0	0.00	0.00	14	  843.0	This study	hargrave 2018-08-14 10:16:17	LT-T-Z:LP-DIR-T	g	14	u	8	273			pmagpy-4.2.4	5.30e-08	5.08e-10	9.08e-10	6.48e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T15	    1.3	240.9	-39.9 	0	0	0.00	0.00	15	  848.0	This study	hargrave 2018-08-14 17:03:54	LT-T-Z:LP-DIR-T	g	15	u	8	273			pmagpy-4.2.4	5.29e-08	4.73e-10	1.00e-09	6.54e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T16	    1.4	241.3	-40.1 	0	0	0.00	0.00	16	  853.0	This study	hargrave 2018-08-15 13:37:48	LT-T-Z:LP-DIR-T	g	16	u	8	273			pmagpy-4.2.4	5.28e-08	5.34e-10	1.04e-09	6.64e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T17	    1.8	241.8	-40.5 	0	0	0.00	0.00	17	  873.0	This study	hargrave 2018-08-16 10:05:31	LT-T-Z:LP-DIR-T	g	17	u	8	273			pmagpy-4.2.4	5.29e-08	1.12e-09	1.07e-09	5.75e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T18	    1.1	242.0	-40.8 	0	0	0.00	0.00	18	  893.0	This study	hargrave 2018-08-16 16:59:28	LT-T-Z:LP-DIR-T	g	18	u	8	273			pmagpy-4.2.4	5.23e-08	3.89e-10	8.42e-10	6.20e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T19	    1.3	243.7	-41.5 	0	0	0.00	0.00	19	  903.0	This study	hargrave 2018-08-17 15:07:44	LT-T-Z:LP-DIR-T	g	19	u	8	273			pmagpy-4.2.4	5.16e-08	7.24e-10	8.12e-10	6.27e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T20	    1.1	241.9	-41.8 	0	0	0.00	0.00	20	  913.0	This study	hargrave 2018-08-28 16:42:09	LT-T-Z:LP-DIR-T	g	20	u	8	273			pmagpy-4.2.4	5.18e-08	3.55e-10	8.72e-10	5.99e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T21	    1.4	240.0	-40.1 	0	0	0.00	0.00	21	  918.0	This study	hargrave 2018-09-10 15:33:41	LT-T-Z:LP-DIR-T	g	21	u	8	273			pmagpy-4.2.4	4.92e-08	7.71e-10	1.53e-09	4.99e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T22	    2.0	240.4	-38.4 	0	0	0.00	0.00	22	  923.0	This study	hargrave 2018-09-11 17:26:42	LT-T-Z:LP-DIR-T	g	22	u	8	273			pmagpy-4.2.4	4.99e-08	1.27e-09	1.48e-09	5.96e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T23	   13.9	237.3	-57.5 	0	0	0.00	0.00	23	  928.0	This study	hargrave 2018-09-12 17:57:08	LT-T-Z:LP-DIR-T	g	23	u	8	273			pmagpy-4.2.4	7.71e-08	5.25e-09	4.29e-09	3.80e-08
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T24	    1.4	241.4	-56.6 	0	0	0.00	0.00	24	  928.0	This study	hargrave 2018-09-20 10:47:13	LT-T-Z:LP-DIR-T	g	24	u	8	273			pmagpy-4.2.4	7.09e-08	1.31e-09	1.43e-09	1.03e-09
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T25	    2.5	243.8	-38.6 	0	0	0.00	0.00	25	  933.0	This study	hargrave 2018-09-20 17:25:27	LT-T-Z:LP-DIR-T	g	25	u	8	273			pmagpy-4.2.4	5.08e-08	1.90e-09	1.45e-09	4.44e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T26	    1.6	236.7	-42.7 	0	0	0.00	0.00	26	  938.0	This study	hargrave 2018-09-21 16:04:48	LT-T-Z:LP-DIR-T	g	26	u	8	273			pmagpy-4.2.4	4.85e-08	1.30e-09	9.76e-10	3.41e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T27	    1.8	247.8	-38.3 	0	0	0.00	0.00	27	  943.0	This study	hargrave 2018-09-24 17:17:25	LT-T-Z:LP-DIR-T	g	27	u	8	273			pmagpy-4.2.4	4.70e-08	1.28e-09	1.22e-09	6.68e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T28	    1.8	236.0	-45.2 	0	0	0.00	0.00	28	  945.0	This study	hargrave 2018-09-25 15:41:47	LT-T-Z:LP-DIR-T	g	28	u	8	273			pmagpy-4.2.4	4.23e-08	8.24e-10	1.15e-09	3.99e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T29	    1.8	236.7	-42.4 	0	0	0.00	0.00	29	  947.0	This study	hargrave 2018-09-26 12:01:32	LT-T-Z:LP-DIR-T	g	29	u	8	273			pmagpy-4.2.4	4.12e-08	6.01e-10	1.71e-09	4.78e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T30	    1.1	241.6	-41.8 	0	0	0.00	0.00	30	  949.0	This study	hargrave 2018-10-04 11:57:08	LT-T-Z:LP-DIR-T	g	30	u	8	273			pmagpy-4.2.4	3.19e-08	6.14e-10	6.69e-10	5.99e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T31	    1.5	239.9	-35.5 	0	0	0.00	0.00	31	  951.0	This study	hargrave 2018-10-05 09:42:06	LT-T-Z:LP-DIR-T	g	31	u	8	273			pmagpy-4.2.4	2.72e-08	3.07e-10	5.98e-10	3.74e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T32	   21.2	216.5	-44.2 	0	0	0.00	0.00	32	  953.0	This study	hargrave 2018-10-09 11:56:30	LT-T-Z:LP-DIR-T	g	32	u	8	273			pmagpy-4.2.4	1.17e-08	1.24e-09	4.31e-09	7.54e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T33	    3.1	231.1	-40.8 	0	0	0.00	0.00	33	  953.0	This study	hargrave 2018-10-09 13:57:08	LT-T-Z:LP-DIR-T	g	33	u	8	273			pmagpy-4.2.4	1.18e-08	3.43e-10	7.71e-10	3.07e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T34	    6.2	233.3	-31.1 	0	0	0.00	0.00	34	  955.0	This study	hargrave 2018-10-11 11:46:46	LT-T-Z:LP-DIR-T	g	34	u	8	273			pmagpy-4.2.4	1.39e-08	5.40e-10	1.46e-09	4.77e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T35	    6.2	134.4	-26.6 	0	0	0.00	0.00	35	  957.0	This study	hargrave 2018-10-12 09:53:51	LT-T-Z:LP-DIR-T	g	35	u	8	273			pmagpy-4.2.4	7.66e-09	9.59e-10	1.38e-09	2.98e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T36	   12.2	225.2	-16.9 	0	0	0.00	0.00	36	  959.0	This study	hargrave 2018-10-12 18:05:53	LT-T-Z:LP-DIR-T	g	36	u	8	273			pmagpy-4.2.4	6.29e-09	2.09e-10	1.66e-09	2.75e-10
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T37	   83.9	256.7	 60.4 	0	0	0.00	0.00	37	  959.0	This study	hargrave 2018-10-19 10:31:03	LT-T-Z:LP-DIR-T	g	37	u	8	273			pmagpy-4.2.4	1.27e-08	3.35e-08	5.29e-09	1.29e-07
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T38	   83.6	218.8	-52.4 	0	0	0.00	0.00	38	  959.0	This study	hargrave 2018-10-19 11:25:09	LT-T-Z:LP-DIR-T	g	38	u	8	273			pmagpy-4.2.4	1.96e-08	3.59e-08	6.50e-09	1.38e-07
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T39	    4.5	167.2	-74.5 	0	0	0.00	0.00	39	  961.0	This study	hargrave 2018-10-19 17:31:16	LT-T-Z:LP-DIR-T	g	39	u	8	273			pmagpy-4.2.4	8.58e-08	1.28e-08	3.86e-09	4.98e-08
TR032-Aa:LP-DIR-T	TR032-Aa	TR032-Aa:LP-DIR-T40	   70.9	237.4	-39.9 	0	0	0.00	0.00	40	  963.0	This study	hargrave 2018-10-20 16:38:10	LT-T-Z:LP-DIR-T	g	40	u	8	273			pmagpy-4.2.4	4.19e-09	1.86e-09	2.90e-09	2.91e-09
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T0	    3.7	136.7	-38.1 	0	0	0.00	0.00	0	273	This study	hargrave 2018-05-11 14:44:09	LT-NO:LP-DIR-T	g	41	u	8	273			pmagpy-4.2.4	2.73e-08	1.17e-09	1.29e-09	4.67e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T1	    3.6	136.3	-40.2 	0	0	0.00	0.00	1	  373.0	This study	hargrave 2018-05-14 13:28:00	LT-T-Z:LP-DIR-T	g	42	u	8	273			pmagpy-4.2.4	2.82e-08	1.35e-09	1.17e-09	3.57e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T2	    3.1	136.7	-41.0 	0	0	0.00	0.00	2	  473.0	This study	hargrave 2018-05-15 11:23:28	LT-T-Z:LP-DIR-T	g	43	u	8	273			pmagpy-4.2.4	2.85e-08	1.10e-09	1.03e-09	3.81e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T3	    2.9	136.6	-42.1 	0	0	0.00	0.00	3	  573.0	This study	hargrave 2018-05-16 09:58:55	LT-T-Z:LP-DIR-T	g	44	u	8	273			pmagpy-4.2.4	2.87e-08	1.03e-09	9.94e-10	3.95e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T4	    3.1	135.9	-42.8 	0	0	0.00	0.00	4	  623.0	This study	hargrave 2018-05-16 17:46:08	LT-T-Z:LP-DIR-T	g	45	u	8	273			pmagpy-4.2.4	2.88e-08	1.13e-09	1.08e-09	3.94e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T5	    2.6	134.9	-43.1 	0	0	0.00	0.00	5	  673.0	This study	hargrave 2018-05-18 10:51:11	LT-T-Z:LP-DIR-T	g	46	u	8	273			pmagpy-4.2.4	2.90e-08	1.04e-09	8.33e-10	3.89e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T6	    2.5	136.2	-43.5 	0	0	0.00	0.00	6	  723.0	This study	hargrave 2018-05-18 17:09:52	LT-T-Z:LP-DIR-T	g	47	u	8	273			pmagpy-4.2.4	2.91e-08	9.92e-10	8.04e-10	4.15e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T7	    2.1	135.5	-43.8 	0	0	0.00	0.00	7	  748.0	This study	hargrave 2018-05-21 15:20:53	LT-T-Z:LP-DIR-T	g	48	u	8	273			pmagpy-4.2.4	2.92e-08	9.10e-10	5.64e-10	3.92e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T8	    3.9	135.9	-44.3 	0	0	0.00	0.00	8	  773.0	This study	hargrave 2018-07-31 10:06:04	LT-T-Z:LP-DIR-T	g	49	u	8	273			pmagpy-4.2.4	2.94e-08	1.76e-09	1.02e-09	4.79e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T9	    4.1	135.1	-45.0 	0	0	0.00	0.00	9	  798.0	This study	hargrave 2018-07-31 16:47:18	LT-T-Z:LP-DIR-T	g	50	u	8	273			pmagpy-4.2.4	2.96e-08	1.76e-09	1.12e-09	5.77e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T10	    4.2	134.6	-45.7 	0	0	0.00	0.00	10	  823.0	This study	hargrave 2018-08-01 14:52:55	LT-T-Z:LP-DIR-T	g	51	u	8	273			pmagpy-4.2.4	2.98e-08	1.91e-09	1.18e-09	4.86e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T11	    3.4	134.8	-45.4 	0	0	0.00	0.00	11	  828.0	This study	hargrave 2018-08-02 12:01:27	LT-T-Z:LP-DIR-T	g	52	u	8	273			pmagpy-4.2.4	2.95e-08	1.41e-09	1.10e-09	3.54e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T12	    3.3	136.0	-45.7 	0	0	0.00	0.00	12	  833.0	This study	hargrave 2018-08-03 15:10:46	LT-T-Z:LP-DIR-T	g	53	u	8	273			pmagpy-4.2.4	2.96e-08	1.53e-09	8.88e-10	4.37e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T13	    3.1	135.6	-45.3 	0	0	0.00	0.00	13	  838.0	This study	hargrave 2018-08-13 13:29:24	LT-T-Z:LP-DIR-T	g	54	u	8	273			pmagpy-4.2.4	2.92e-08	1.36e-09	8.27e-10	3.02e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T14	    3.7	135.2	-45.8 	0	0	0.00	0.00	14	  843.0	This study	hargrave 2018-08-14 10:20:05	LT-T-Z:LP-DIR-T	g	55	u	8	273			pmagpy-4.2.4	2.94e-08	1.61e-09	1.01e-09	3.91e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T15	    4.4	135.7	-45.6 	0	0	0.00	0.00	15	  848.0	This study	hargrave 2018-08-14 17:07:39	LT-T-Z:LP-DIR-T	g	56	u	8	273			pmagpy-4.2.4	2.93e-08	1.90e-09	1.20e-09	3.80e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T16	    4.5	135.4	-45.7 	0	0	0.00	0.00	16	  853.0	This study	hargrave 2018-08-15 13:42:22	LT-T-Z:LP-DIR-T	g	57	u	8	273			pmagpy-4.2.4	2.95e-08	1.96e-09	1.24e-09	3.84e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T17	    3.5	134.8	-46.0 	0	0	0.00	0.00	17	  873.0	This study	hargrave 2018-08-16 10:10:04	LT-T-Z:LP-DIR-T	g	58	u	8	273			pmagpy-4.2.4	2.95e-08	1.55e-09	9.40e-10	2.94e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T18	    4.0	134.8	-46.9 	0	0	0.00	0.00	18	  893.0	This study	hargrave 2018-08-16 17:03:12	LT-T-Z:LP-DIR-T	g	59	u	8	273			pmagpy-4.2.4	2.91e-08	1.71e-09	1.10e-09	3.12e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T19	    3.5	133.4	-47.3 	0	0	0.00	0.00	19	  903.0	This study	hargrave 2018-08-17 15:12:15	LT-T-Z:LP-DIR-T	g	60	u	8	273			pmagpy-4.2.4	2.93e-08	1.50e-09	9.70e-10	2.61e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T20	    4.5	133.7	-47.7 	0	0	0.00	0.00	20	  913.0	This study	hargrave 2018-08-28 16:45:50	LT-T-Z:LP-DIR-T	g	61	u	8	273			pmagpy-4.2.4	2.92e-08	1.87e-09	1.33e-09	2.76e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T21	    4.4	137.6	-51.4 	0	0	0.00	0.00	21	  918.0	This study	hargrave 2018-09-10 15:38:24	LT-T-Z:LP-DIR-T	g	62	u	8	273			pmagpy-4.2.4	3.11e-08	1.99e-09	1.19e-09	2.39e-09
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T22	   27.3	132.9	-32.0 	0	0	0.00	0.00	22	  923.0	This study	hargrave 2018-09-11 17:30:20	LT-T-Z:LP-DIR-T	g	63	u	8	273			pmagpy-4.2.4	2.08e-08	6.40e-10	5.80e-10	1.19e-08
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T23	    4.7	137.3	-54.7 	0	0	0.00	0.00	23	  923.0	This study	hargrave 2018-09-12 10:03:15	LT-T-Z:LP-DIR-T	g	64	u	8	273			pmagpy-4.2.4	3.16e-08	1.05e-09	6.34e-10	3.72e-09
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T24	   62.4	130.4	-66.1 	0	0	0.00	0.00	24	  928.0	This study	hargrave 2018-09-12 18:01:22	LT-T-Z:LP-DIR-T	g	65	u	8	273			pmagpy-4.2.4	2.38e-08	6.70e-09	7.86e-09	2.33e-08
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T25	    3.5	133.3	-51.4 	0	0	0.00	0.00	25	  928.0	This study	hargrave 2018-09-20 10:48:57	LT-T-Z:LP-DIR-T	g	66	u	8	273			pmagpy-4.2.4	3.26e-08	1.13e-09	1.48e-09	9.67e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T26	    4.6	137.1	-51.2 	0	0	0.00	0.00	26	  933.0	This study	hargrave 2018-09-20 17:28:55	LT-T-Z:LP-DIR-T	g	67	u	8	273			pmagpy-4.2.4	2.80e-08	1.29e-09	1.74e-09	8.27e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T27	    4.3	133.2	-49.5 	0	0	0.00	0.00	27	  938.0	This study	hargrave 2018-09-21 16:08:16	LT-T-Z:LP-DIR-T	g	68	u	8	273			pmagpy-4.2.4	2.96e-08	1.41e-09	1.67e-09	7.29e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T28	    5.0	136.9	-50.9 	0	0	0.00	0.00	28	  943.0	This study	hargrave 2018-09-24 17:20:55	LT-T-Z:LP-DIR-T	g	69	u	8	273			pmagpy-4.2.4	2.69e-08	1.68e-09	1.61e-09	3.65e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T29	    4.3	131.7	-46.8 	0	0	0.00	0.00	29	  945.0	This study	hargrave 2018-09-25 15:45:28	LT-T-Z:LP-DIR-T	g	70	u	8	273			pmagpy-4.2.4	2.81e-08	1.49e-09	1.52e-09	3.87e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T30	    4.9	137.9	-48.5 	0	0	0.00	0.00	30	  947.0	This study	hargrave 2018-09-26 12:05:14	LT-T-Z:LP-DIR-T	g	71	u	8	273			pmagpy-4.2.4	2.59e-08	1.57e-09	1.62e-09	3.19e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T31	    3.7	134.9	-48.7 	0	0	0.00	0.00	31	  949.0	This study	hargrave 2018-10-04 12:00:52	LT-T-Z:LP-DIR-T	g	72	u	8	273			pmagpy-4.2.4	2.43e-08	1.04e-09	1.14e-09	3.96e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T32	    3.4	135.3	-51.4 	0	0	0.00	0.00	32	  951.0	This study	hargrave 2018-10-05 09:45:37	LT-T-Z:LP-DIR-T	g	73	u	8	273			pmagpy-4.2.4	2.09e-08	8.01e-10	9.60e-10	3.23e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T33	    6.9	134.0	-46.8 	0	0	0.00	0.00	33	  953.0	This study	hargrave 2018-10-09 11:59:22	LT-T-Z:LP-DIR-T	g	74	u	8	273			pmagpy-4.2.4	1.55e-08	5.05e-10	1.92e-09	3.92e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T34	    5.3	157.1	-49.8 	0	0	0.00	0.00	34	  955.0	This study	hargrave 2018-10-11 11:49:34	LT-T-Z:LP-DIR-T	g	75	u	8	273			pmagpy-4.2.4	7.43e-09	2.67e-10	6.55e-10	2.09e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T35	    7.3	122.5	-43.3 	0	0	0.00	0.00	35	  957.0	This study	hargrave 2018-10-12 09:56:38	LT-T-Z:LP-DIR-T	g	76	u	8	273			pmagpy-4.2.4	4.40e-09	1.80e-10	5.74e-10	1.75e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T36	   16.2	149.1	-03.7 	0	0	0.00	0.00	36	  959.0	This study	hargrave 2018-10-12 18:09:32	LT-T-Z:LP-DIR-T	g	77	u	8	273			pmagpy-4.2.4	1.70e-09	8.07e-11	5.82e-10	8.82e-11
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T37	   48.3	196.3	-61.9 	0	0	0.00	0.00	37	  959.0	This study	hargrave 2018-10-19 10:32:31	LT-T-Z:LP-DIR-T	g	78	u	8	273			pmagpy-4.2.4	3.12e-09	2.57e-10	3.43e-10	3.39e-09
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T38	   55.5	275.1	 85.7 	0	0	0.00	0.00	38	  959.0	This study	hargrave 2018-10-19 11:27:23	LT-T-Z:LP-DIR-T	g	79	u	8	273			pmagpy-4.2.4	8.75e-09	1.40e-09	5.37e-10	9.75e-09
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T39	   22.2	113.5	-33.6 	0	0	0.00	0.00	39	  961.0	This study	hargrave 2018-10-19 17:34:57	LT-T-Z:LP-DIR-T	g	80	u	8	273			pmagpy-4.2.4	1.98e-09	1.46e-10	3.42e-10	7.24e-10
TR032-Ba:LP-DIR-T	TR032-Ba	TR032-Ba:LP-DIR-T40	   30.9	113.7	-37.5 	0	0	0.00	0.00	40	  961.0	This study	hargrave 2018-10-20 10:38:44	LT-T-Z:LP-DIR-T	g	81	u	8	273			pmagpy-4.2.4	1.44e-09	1.17e-10	3.80e-10	7.95e-10
