tab	specimens
specimen	experiments	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
TR018-Ga	TR018-Ga:LP-DIR-T	TR018-G		32.6	-16.6	HT	118.6	13.4	2	8	-1		10.6	873	823	K		hargrave 2018-02-14 12:04:25	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR	g			Quick_River	TR018
TR018-Ga	TR018-Ga:LP-DIR-T	TR018-G				LT	12.1	52.2	2	6	0	28.0	3.0	723	373	K		hargrave 2018-02-14 12:04:25	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ga	TR018-Ga:LP-DIR-T	TR018-G				LT	220.4	22.0	2	6	-1	28.0	3.0	723	373	K		hargrave 2018-02-14 12:04:25	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Ha	TR018-Ha:LP-DIR-T	TR018-H				LT	216.6	14.8	2	5	-1	34.7	4.4	623	273	K		hargrave 2018-02-14 12:05:56	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Ha	TR018-Ha:LP-DIR-T	TR018-H		53.3	-16.5	HT	326.4	10.2	2	11	-1		8.5	873	748	K		hargrave 2018-02-14 12:05:56	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR	g			Quick_River	TR018
TR018-Ha	TR018-Ha:LP-DIR-T	TR018-H				LT	6.5	54.8	2	5	0	34.7	4.4	623	273	K		hargrave 2018-02-14 12:05:56	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ha	TR018-Ha:LP-DIR-T	TR018-H		173.0	-30.9	HT	224.1	46.5	2	11	0		8.5	873	748	K		hargrave 2018-02-14 12:05:56	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ha	TR018-Ha:LP-DIR-T	TR018-H				LT	66.3	56.4	2	5	100	34.7	4.4	623	273	K		hargrave 2018-02-14 12:05:56	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ha	TR018-Ha:LP-DIR-T	TR018-H		202.7	-51.3	HT	8.8	-37.9	2	11	100		8.5	873	748	K		hargrave 2018-02-14 12:05:56	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ia	TR018-Ia:LP-DIR-T	TR018-I				LT	73.5	50.1	2	5	100	137.5	4.3	623	273	K		hargrave 2018-02-14 16:28:22	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ia	TR018-Ia:LP-DIR-T	TR018-I				HT	205.9	-60.9	2	12	100	0.0	5.6	961	933	K		hargrave 2018-02-14 16:28:22	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ia	TR018-Ia:LP-DIR-T	TR018-I				LT	19.8	56.3	2	5	0	137.5	4.3	623	273	K		hargrave 2018-02-14 16:28:22	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ia	TR018-Ia:LP-DIR-T	TR018-I				HT	51.4	-5.0	2	12	-1	0.0	5.6	961	933	K		hargrave 2018-02-14 16:28:22	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR018
TR018-Ia	TR018-Ia:LP-DIR-T	TR018-I				LT	212.3	26.6	2	5	-1	137.5	4.3	623	273	K		hargrave 2018-02-14 16:28:22	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Ia	TR018-Ia:LP-DIR-T	TR018-I				HT	166.0	-38.8	2	12	0	0.0	5.6	961	933	K		hargrave 2018-02-14 16:28:22	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ja	TR018-Ja:LP-DIR-T	TR018-J				HT	142.3	-70.8	2	13	100	0.0	12.9	957	918	K		hargrave 2018-02-14 16:29:55	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ja	TR018-Ja:LP-DIR-T	TR018-J				LT	48.7	58.8	2	5	100	75.9	2.1	723	473	K		hargrave 2018-02-14 16:29:55	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ja	TR018-Ja:LP-DIR-T	TR018-J				LT	357.1	47.1	2	5	0	75.9	2.1	723	473	K		hargrave 2018-02-14 16:29:55	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ja	TR018-Ja:LP-DIR-T	TR018-J				LT	227.0	26.5	2	5	-1	75.9	2.1	723	473	K		hargrave 2018-02-14 16:29:55	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Ja	TR018-Ja:LP-DIR-T	TR018-J				HT	48.5	8.6	2	13	-1	0.0	12.9	957	918	K		hargrave 2018-02-14 16:29:55	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR018
TR018-Ja	TR018-Ja:LP-DIR-T	TR018-J				HT	133.9	-33.5	2	13	0	0.0	12.9	957	918	K		hargrave 2018-02-14 16:29:55	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ka	TR018-Ka:LP-DIR-T	TR018-K				LT	223.6	48.6	2	4	-1	40.3	4.6	673	473	K		hargrave 2018-02-14 16:31:43	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Ka	TR018-Ka:LP-DIR-T	TR018-K				HT	68.2	-17.5	2	5	-1	0.0	33.4	957	949	K		hargrave 2018-02-14 16:31:43	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR018
TR018-Ka	TR018-Ka:LP-DIR-T	TR018-K				LT	17.0	50.1	2	4	0	40.3	4.6	673	473	K		hargrave 2018-02-14 16:31:43	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ka	TR018-Ka:LP-DIR-T	TR018-K				HT	159.3	-26.9	2	5	0	0.0	33.4	957	949	K		hargrave 2018-02-14 16:31:43	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ka	TR018-Ka:LP-DIR-T	TR018-K				LT	63.9	48.7	2	4	100	40.3	4.6	673	473	K		hargrave 2018-02-14 16:31:43	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ka	TR018-Ka:LP-DIR-T	TR018-K				HT	182.6	-55.7	2	5	100	0.0	33.4	957	949	K		hargrave 2018-02-14 16:31:43	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR018
TR018-La	TR018-La:LP-DIR-T	TR018-L				LT	52.3	50.3	2	5	100	20.4	4.3	748	573	K		hargrave 2018-02-14 16:33:17	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-La	TR018-La:LP-DIR-T	TR018-L				LT	176.4	41.3	2	5	-1	20.4	4.3	748	573	K		hargrave 2018-02-14 16:33:17	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-La	TR018-La:LP-DIR-T	TR018-L		31.6	-49.3	HT	54.0	38.4	2	8	-1		18.7	848	773	K		hargrave 2018-02-14 16:33:17	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR	g			Quick_River	TR018
TR018-La	TR018-La:LP-DIR-T	TR018-L				LT	9.1	44.6	2	5	0	20.4	4.3	748	573	K		hargrave 2018-02-14 16:33:17	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-La	TR018-La:LP-DIR-T	TR018-L		169.6	-38.1	HT	232.4	30.2	2	8	0		18.7	848	773	K		hargrave 2018-02-14 16:33:17	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-GEO	g			Quick_River	TR018
TR018-La	TR018-La:LP-DIR-T	TR018-L		208.4	-58.3	HT	28.8	-31.7	2	8	100		18.7	848	773	K		hargrave 2018-02-14 16:33:17	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ma	TR018-Ma:LP-DIR-T	TR018-M				LT	71.0	49.6	2	5	100	73.2	5.3	673	373	K		hargrave 2018-02-14 16:34:48	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ma	TR018-Ma:LP-DIR-T	TR018-M		215.1	-48.4	HT	229.5	40.7	2	13	100		18.1	893	723	K		hargrave 2018-02-14 16:34:48	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-TILT	g			Quick_River	TR018
TR018-Ma	TR018-Ma:LP-DIR-T	TR018-M		182.1	-34.6	HT	253.0	25.3	2	13	0		18.1	893	723	K		hargrave 2018-02-14 16:34:48	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-GEO	g			Quick_River	TR018
TR018-Ma	TR018-Ma:LP-DIR-T	TR018-M				LT	211.0	38.7	2	5	-1	73.2	5.3	673	373	K		hargrave 2018-02-14 16:34:48	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Ma	TR018-Ma:LP-DIR-T	TR018-M		51.8	-35.4	HT	13.1	47.6	2	13	-1		18.1	893	723	K		hargrave 2018-02-14 16:34:48	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR	g			Quick_River	TR018
TR018-Ma	TR018-Ma:LP-DIR-T	TR018-M				LT	19.4	54.7	2	5	0	73.2	5.3	673	373	K		hargrave 2018-02-14 16:34:48	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Na	TR018-Na:LP-DIR-T	TR018-N				HT	100.7	-51.3	2	11	-1	0.0	7.8	961	938	K		hargrave 2018-02-14 16:36:16	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Quick_River	TR018
TR018-Na	TR018-Na:LP-DIR-T	TR018-N				LT	209.5	34.2	2	6	-1	90.2	2.2	723	373	K		hargrave 2018-02-14 16:36:16	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Na	TR018-Na:LP-DIR-T	TR018-N				HT	203.0	-7.5	2	11	0	0.0	7.8	961	938	K		hargrave 2018-02-14 16:36:16	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Quick_River	TR018
TR018-Na	TR018-Na:LP-DIR-T	TR018-N				LT	8.7	59.2	2	6	0	90.2	2.2	723	373	K		hargrave 2018-02-14 16:36:16	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Na	TR018-Na:LP-DIR-T	TR018-N				HT	210.8	-15.4	2	11	100	0.0	7.8	961	938	K		hargrave 2018-02-14 16:36:16	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Quick_River	TR018
TR018-Na	TR018-Na:LP-DIR-T	TR018-N				LT	74.5	56.6	2	6	100	90.2	2.2	723	373	K		hargrave 2018-02-14 16:36:16	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Pa	TR018-Pa:LP-DIR-T	TR018-P				LT	226.5	52.9	1	5	-1	145.6	13.8	673	373	K		hargrave 2018-02-14 16:37:44	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Pa	TR018-Pa:LP-DIR-T	TR018-P				LT	17.5	41.5	1	5	0	145.6	13.8	673	373	K		hargrave 2018-02-14 16:37:44	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Pa	TR018-Pa:LP-DIR-T	TR018-P				LT	53.9	43.5	1	5	100	145.6	13.8	673	373	K		hargrave 2018-02-14 16:37:44	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR018-Qa	TR018-Qa:LP-DIR-T	TR018-Q				LT	246.3	44.2	1	5	-1	154.0	4.7	723	473	K		hargrave 2018-02-14 16:39:16	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Quick_River	TR018
TR018-Qa	TR018-Qa:LP-DIR-T	TR018-Q				LT	0.2	42.0	1	5	0	154.0	4.7	723	473	K		hargrave 2018-02-14 16:39:16	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR018
TR018-Qa	TR018-Qa:LP-DIR-T	TR018-Q				LT	42.9	54.2	1	5	100	154.0	4.7	723	473	K		hargrave 2018-02-14 16:39:16	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR018
TR020-Aa	TR020-Aa:LP-DIR-T	TR020-A		107.8	-65.3	HT	103.2	24.6	2	8	100		30.7	938	893	K		hargrave 2018-02-14 16:42:03	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-TILT	g			Quick_River	TR020
TR020-Aa	TR020-Aa:LP-DIR-T	TR020-A				LT	24.6	62.9	2	6	0	32.9	2.4	723	373	K		hargrave 2018-02-14 16:42:03	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Quick_River	TR020
TR020-Aa	TR020-Aa:LP-DIR-T	TR020-A				LT	36.4	72.3	2	6	100	32.9	2.4	723	373	K		hargrave 2018-02-14 16:42:03	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Quick_River	TR020
TR020-Aa	TR020-Aa:LP-DIR-T	TR020-A		126.9	-60.9	HT	98.3	26.0	2	8	0		30.7	938	893	K		hargrave 2018-02-14 16:42:03	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR-GEO	g			Quick_River	TR020
TR020-Aa	TR020-Aa:LP-DIR-T	TR020-A		19.6	-2.7	HT	92.2	81.0	2	8	-1		30.7	938	893	K		hargrave 2018-02-14 16:42:03	pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFP:DA-DIR	g			Quick_River	TR020
