tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	magn_moment	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
TR035-AAa:LP-DIR-T34	TR035-AAa:LP-DIR-T	TR035-AAa	4.4	192.4	3.9	0	0	0.0	0.0	34	957.0	2.2200000000000004e-08	This study	hargrave 2018-02-05 20:37:00	LT-T-Z:LP-DIR-T	g	33	u	8	273			pmagpy-3.16.0	6.34e-10	1.49e-09	8e-10	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T35	TR035-AAa:LP-DIR-T	TR035-AAa	4.9	226.4	3.8	0	0	0.0	0.0	35	959.0	1.82e-08	This study	hargrave 2018-02-12 11:26:24	LT-T-Z:LP-DIR-T	g	34	u	8	273			pmagpy-3.16.0	5.86e-10	8.95e-10	1.25e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T36	TR035-AAa:LP-DIR-T	TR035-AAa	8.3	187.1	6.4	0	0	0.0	0.0	36	961.0	8.87e-09	This study	hargrave 2018-02-26 11:45:24	LT-T-Z:LP-DIR-T	g	35	u	8	273			pmagpy-3.16.0	4.72e-10	6.67e-10	1.0800000000000002e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T37	TR035-AAa:LP-DIR-T	TR035-AAa	19.7	184.5	6.3	0	0	0.0	0.0	37	961.0	8.53e-09	This study	hargrave 2018-02-26 14:30:54	LT-T-Z:LP-DIR-T	g	36	u	8	273			pmagpy-3.16.0	8.06e-10	1.85e-09	2.35e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T38	TR035-AAa:LP-DIR-T	TR035-AAa	18.8	233.3	-3.6	0	0	0.0	0.0	38	963.0	8.409999999999999e-09	This study	hargrave 2018-02-28 12:28:23	LT-T-Z:LP-DIR-T	g	37	u	8	273			pmagpy-3.16.0	7.389999999999999e-10	1.87e-09	2.7e-09	TR035-AA	TR035	Luoman2
TR035-AAa:LP-DIR-T39	TR035-AAa:LP-DIR-T	TR035-AAa	18.3	230.7	-7.5	0	0	0.0	0.0	39	963.0	7.77e-09	This study	hargrave 2018-02-28 16:47:41	LT-T-Z:LP-DIR-T	g	38	u	8	273			pmagpy-3.16.0	7.02e-10	2.0100000000000003e-09	2.45e-09	TR035-AA	TR035	Luoman2
TR035-Aa:LP-DIR-T1	TR035-Aa:LP-DIR-T	TR035-Aa	2.4	209.7	72.8	0	0	0.0	0.0	1	273.0	4.6500000000000006e-08	This study	hargrave 2017-10-13 19:24:31	LT-NO:LP-DIR-T	g	39	u	8	273			pmagpy-3.16.0	1.54e-09	1.19e-09	5.7e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T2	TR035-Aa:LP-DIR-T	TR035-Aa	2.5	214.1	74.1	0	0	0.0	0.0	2	373.0	4.59e-08	This study	hargrave 2017-10-15 19:31:41	LT-T-Z:LP-DIR-T	g	40	u	8	273			pmagpy-3.16.0	1.3699999999999998e-09	1.4e-09	4.48e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T3	TR035-Aa:LP-DIR-T	TR035-Aa	2.2	212.5	74.9	0	0	0.0	0.0	3	473.0	4.58e-08	This study	hargrave 2017-10-16 13:32:31	LT-T-Z:LP-DIR-T	g	41	u	8	273			pmagpy-3.16.0	1.24e-09	1.18e-09	5.58e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T4	TR035-Aa:LP-DIR-T	TR035-Aa	2.5	214.3	75.5	0	0	0.0	0.0	4	573.0	4.53e-08	This study	hargrave 2017-10-17 10:24:40	LT-T-Z:LP-DIR-T	g	42	u	8	273			pmagpy-3.16.0	1.46e-09	1.27e-09	5.55e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T5	TR035-Aa:LP-DIR-T	TR035-Aa	2.4	211.9	76.1	0	0	0.0	0.0	5	623.0	4.5e-08	This study	hargrave 2017-10-18 08:33:21	LT-T-Z:LP-DIR-T	g	43	u	8	273			pmagpy-3.16.0	1.47e-09	1.19e-09	5.26e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T6	TR035-Aa:LP-DIR-T	TR035-Aa	2.2	210.1	77.1	0	0	0.0	0.0	6	673.0	4.48e-08	This study	hargrave 2017-10-20 16:12:23	LT-T-Z:LP-DIR-T	g	44	u	8	273			pmagpy-3.16.0	1.32e-09	1.09e-09	6.24e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T7	TR035-Aa:LP-DIR-T	TR035-Aa	1.8	210.5	78.1	0	0	0.0	0.0	7	723.0	4.4e-08	This study	hargrave 2017-10-23 10:45:39	LT-T-Z:LP-DIR-T	g	45	u	8	273			pmagpy-3.16.0	9.73e-10	9.44e-10	4.76e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T8	TR035-Aa:LP-DIR-T	TR035-Aa	2.0	208.6	78.5	0	0	0.0	0.0	8	748.0	4.39e-08	This study	hargrave 2017-10-24 08:12:00	LT-T-Z:LP-DIR-T	g	46	u	8	273			pmagpy-3.16.0	1.26e-09	9.14e-10	5.559999999999999e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T9	TR035-Aa:LP-DIR-T	TR035-Aa	2.0	207.5	78.9	0	0	0.0	0.0	9	773.0	4.31e-08	This study	hargrave 2017-10-24 19:02:41	LT-T-Z:LP-DIR-T	g	47	u	8	273			pmagpy-3.16.0	1.27e-09	9.04e-10	4.959999999999999e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T10	TR035-Aa:LP-DIR-T	TR035-Aa	2.0	207.7	79.5	0	0	0.0	0.0	10	798.0	4.31e-08	This study	hargrave 2017-10-26 18:18:18	LT-T-Z:LP-DIR-T	g	48	u	8	273			pmagpy-3.16.0	1.17e-09	9.41e-10	5.41e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T11	TR035-Aa:LP-DIR-T	TR035-Aa	2.0	202.8	79.7	0	0	0.0	0.0	11	823.0	4.25e-08	This study	hargrave 2017-10-27 16:16:55	LT-T-Z:LP-DIR-T	g	49	u	8	273			pmagpy-3.16.0	1.16e-09	8.92e-10	5.7e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T12	TR035-Aa:LP-DIR-T	TR035-Aa	2.5	202.4	79.6	0	0	0.0	0.0	12	828.0	4.03e-08	This study	hargrave 2017-10-28 17:50:05	LT-T-Z:LP-DIR-T	g	50	u	8	273			pmagpy-3.16.0	1.35e-09	1.15e-09	1.87e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T13	TR035-Aa:LP-DIR-T	TR035-Aa	2.5	203.6	80.1	0	0	0.0	0.0	13	833.0	4.04e-08	This study	hargrave 2017-11-03 14:23:53	LT-T-Z:LP-DIR-T	g	51	u	8	273			pmagpy-3.16.0	1.29e-09	1.2e-09	4.41e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T14	TR035-Aa:LP-DIR-T	TR035-Aa	2.8	205.7	80.4	0	0	0.0	0.0	14	838.0	3.99e-08	This study	hargrave 2017-11-05 13:16:45	LT-T-Z:LP-DIR-T	g	52	u	8	273			pmagpy-3.16.0	1.4800000000000005e-09	1.29e-09	4.05e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T15	TR035-Aa:LP-DIR-T	TR035-Aa	2.5	203.9	80.9	0	0	0.0	0.0	15	843.0	3.98e-08	This study	hargrave 2017-11-09 10:49:56	LT-T-Z:LP-DIR-T	g	53	u	8	273			pmagpy-3.16.0	1.25e-09	1.16e-09	4.16e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T16	TR035-Aa:LP-DIR-T	TR035-Aa	2.8	200.7	81.3	0	0	0.0	0.0	16	848.0	3.95e-08	This study	hargrave 2017-11-09 19:43:35	LT-T-Z:LP-DIR-T	g	54	u	8	273			pmagpy-3.16.0	1.57e-09	1.13e-09	6.18e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T17	TR035-Aa:LP-DIR-T	TR035-Aa	2.7	208.4	81.1	0	0	0.0	0.0	17	853.0	3.89e-08	This study	hargrave 2017-11-14 15:26:38	LT-T-Z:LP-DIR-T	g	55	u	8	273			pmagpy-3.16.0	1.32e-09	1.31e-09	3.12e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T18	TR035-Aa:LP-DIR-T	TR035-Aa	2.2	205.7	82.1	0	0	0.0	0.0	18	873.0	4.01e-08	This study	hargrave 2017-11-17 14:39:22	LT-T-Z:LP-DIR-T	g	56	u	8	273			pmagpy-3.16.0	1.27e-09	9.54e-10	4.94e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T19	TR035-Aa:LP-DIR-T	TR035-Aa	1.9	205.2	81.8	0	0	0.0	0.0	19	893.0	3.77e-08	This study	hargrave 2017-11-19 13:57:04	LT-T-Z:LP-DIR-T	g	57	u	8	273			pmagpy-3.16.0	9.79e-10	8.81e-10	7.359999999999999e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T20	TR035-Aa:LP-DIR-T	TR035-Aa	1.6	107.5	81.4	0	0	0.0	0.0	20	903.0	3.85e-08	This study	hargrave 2017-11-21 13:09:52	LT-T-Z:LP-DIR-T	g	58	u	8	273			pmagpy-3.16.0	8.92e-10	6.89e-10	7.93e-10	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T21	TR035-Aa:LP-DIR-T	TR035-Aa	3.3	304.6	61.6	0	0	0.0	0.0	21	913.0	3.3700000000000004e-08	This study	hargrave 2017-11-27 12:27:07	LT-T-Z:LP-DIR-T	g	59	u	8	273			pmagpy-3.16.0	1.3e-09	9.07e-10	1.92e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T22	TR035-Aa:LP-DIR-T	TR035-Aa	1.7	216.8	54.2	0	0	0.0	0.0	22	918.0	4.59e-08	This study	hargrave 2017-11-28 11:22:22	LT-T-Z:LP-DIR-T	g	60	u	8	273			pmagpy-3.16.0	1.87e-09	1.0300000000000002e-09	1.7399999999999996e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T23	TR035-Aa:LP-DIR-T	TR035-Aa	3.4	209.8	43.8	0	0	0.0	0.0	23	923.0	3.65e-08	This study	hargrave 2017-12-08 17:07:19	LT-T-Z:LP-DIR-T	g	61	u	8	273			pmagpy-3.16.0	8.87e-10	8e-10	2.42e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T24	TR035-Aa:LP-DIR-T	TR035-Aa	1.9	145.1	49.7	0	0	0.0	0.0	24	928.0	4.72e-08	This study	hargrave 2017-12-11 17:49:15	LT-T-Z:LP-DIR-T	g	62	u	8	273			pmagpy-3.16.0	1.94e-09	1.02e-09	2.47e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T25	TR035-Aa:LP-DIR-T	TR035-Aa	2.4	235.6	28.6	0	0	0.0	0.0	25	933.0	4.4900000000000005e-08	This study	hargrave 2017-12-12 18:27:19	LT-T-Z:LP-DIR-T	g	63	u	8	273			pmagpy-3.16.0	1.46e-09	1.25e-09	2.36e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T26	TR035-Aa:LP-DIR-T	TR035-Aa	1.8	183.8	37.6	0	0	0.0	0.0	26	938.0	4.23e-08	This study	hargrave 2018-01-08 17:01:48	LT-T-Z:LP-DIR-T	g	64	u	8	273			pmagpy-3.16.0	2.33e-09	1.02e-09	2.21e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T27	TR035-Aa:LP-DIR-T	TR035-Aa	3.2	209.7	3.1	0	0	0.0	0.0	27	943.0	3.5699999999999995e-08	This study	hargrave 2018-01-11 09:06:32	LT-T-Z:LP-DIR-T	g	65	u	8	273			pmagpy-3.16.0	1.61e-09	1.2e-09	1.91e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T28	TR035-Aa:LP-DIR-T	TR035-Aa	5.0	120.0	14.0	0	0	0.0	0.0	28	945.0	3.51e-08	This study	hargrave 2018-01-12 09:03:52	LT-T-Z:LP-DIR-T	g	66	u	8	273			pmagpy-3.16.0	3.12e-09	9.74e-10	1.77e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T29	TR035-Aa:LP-DIR-T	TR035-Aa	4.1	236.8	-3.0	0	0	0.0	0.0	29	947.0	3.93e-08	This study	hargrave 2018-01-16 16:12:38	LT-T-Z:LP-DIR-T	g	67	u	8	273			pmagpy-3.16.0	1.11e-09	1.41e-09	2.47e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T30	TR035-Aa:LP-DIR-T	TR035-Aa	5.8	117.8	5.9	0	0	0.0	0.0	30	949.0	2.3e-08	This study	hargrave 2018-01-17 16:08:45	LT-T-Z:LP-DIR-T	g	68	u	8	273			pmagpy-3.16.0	1.3800000000000002e-09	8.46e-10	1.98e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T31	TR035-Aa:LP-DIR-T	TR035-Aa	4.0	241.7	-4.0	0	0	0.0	0.0	31	951.0	3.9700000000000005e-08	This study	hargrave 2018-01-24 13:14:27	LT-T-Z:LP-DIR-T	g	69	u	8	273			pmagpy-3.16.0	1.34e-09	9.38e-10	2.47e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T32	TR035-Aa:LP-DIR-T	TR035-Aa	7.4	148.2	-7.3	0	0	0.0	0.0	32	953.0	1.6799999999999998e-08	This study	hargrave 2018-01-27 09:48:10	LT-T-Z:LP-DIR-T	g	70	u	8	273			pmagpy-3.16.0	1.17e-09	9.72e-10	1.82e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T33	TR035-Aa:LP-DIR-T	TR035-Aa	5.7	233.5	-1.6	0	0	0.0	0.0	33	955.0	2.54e-08	This study	hargrave 2018-01-31 17:26:18	LT-T-Z:LP-DIR-T	g	71	u	8	273			pmagpy-3.16.0	1.05e-09	1.22e-09	2.26e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T34	TR035-Aa:LP-DIR-T	TR035-Aa	7.5	171.1	-1.6	0	0	0.0	0.0	34	957.0	1.56e-08	This study	hargrave 2018-02-05 19:54:30	LT-T-Z:LP-DIR-T	g	72	u	8	273			pmagpy-3.16.0	1.05e-09	1.04e-09	1.7399999999999996e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T35	TR035-Aa:LP-DIR-T	TR035-Aa	5.6	234.1	-2.5	0	0	0.0	0.0	35	959.0	2.74e-08	This study	hargrave 2018-02-12 10:48:33	LT-T-Z:LP-DIR-T	g	73	u	8	273			pmagpy-3.16.0	9.85e-10	1.3e-09	2.46e-09	TR035-A	TR035	Luoman2
TR035-Aa:LP-DIR-T36	TR035-Aa:LP-DIR-T	TR035-Aa	9.8	174.8	2.2	0	0	0.0	0.0	36	961.0	1.47e-08	This study	hargrave 2018-02-26 11:15:12	LT-T-Z:LP-DIR-T	g	74	u	8	273			pmagpy-3.16.0	6.54e-10	1.53e-09	2.03e-09	TR035-A	TR035	Luoman2
